horizon,SG,US-MIDA-PJM,US-NY-NYIS,FI,BE
51,4.238491177409786,8.449726276625185,13.580529788666377,17.39261621390771,22.892077473341942
52,4.390720896373532,8.523320994674167,13.33132759232107,17.25933167760405,22.76851245724189
53,4.35505347390825,8.784230248073547,13.398533977139104,17.172438929216423,22.986609569643775
54,4.4267591187428925,8.718173378082984,13.014230798249196,16.884471861360538,23.36815114912717
55,4.556182587817082,8.80207962472149,12.760188970551928,16.611819903640868,23.705276878366462
56,4.545470069910914,8.642369091652217,12.722737619165315,16.56911102776001,23.634427353875225
57,4.641571815711097,8.518829652369165,13.149688826124573,16.746112565113734,24.445417228291035
58,4.596010590424328,8.719731267400405,12.996913415136685,16.864665836576524,24.441508041116652
59,4.664239069352714,8.624187323565238,13.337392359777972,17.045335353144974,23.836240393569632
60,4.257829178969846,8.748690002827676,13.177090466866002,17.626585438679285,24.02122998809424
61,3.986839924209342,8.921730793860746,13.014081820156973,17.506179683579358,23.613387728264314
62,3.729845220929452,9.006430193759396,13.481625663538189,17.716985099391376,23.8480667446918
63,3.8856852096048855,8.942332040699268,12.758139847101408,17.580045688295375,23.32052588778727
64,4.243000894953789,8.832817145051576,12.954969353668972,17.802635781892103,23.457501635560444
65,4.384581662352914,8.691598680108028,13.172820241027452,17.370326572482465,23.278706038178804
66,4.402763515847813,8.73927138020914,13.168777916501195,17.503062436398103,24.47164419901156
67,4.111422910168814,8.797713047574094,12.784734578563539,17.2374900997831,22.861499069107364
68,3.8630797418696092,9.055942659319891,13.109825454269952,17.022379122986862,23.26157671214355
69,4.273765427412258,9.070815341642529,13.480504211942076,16.966307632354766,23.480248887936376
70,4.389798686871597,9.400764618422949,13.571365210614369,16.777227396237613,23.345570912090206
71,4.318736674241047,9.41748336092945,13.253721350528917,16.465079252030026,22.114711427535298
72,4.187954065941608,9.215256716104982,13.207028372195978,16.600131288750735,21.294002100928456
73,4.149426392856922,8.989944333715691,13.59002781250844,16.537677436021504,21.67923391179286
74,4.122413857284226,9.095904243596179,13.770453531933263,16.217058711537042,20.91516209880739
75,4.1297058210247855,9.378550124389292,13.139731303600174,15.86858485073698,20.37372471057867
76,4.1528873546852765,9.339733053413845,13.679539979948496,15.687717801677428,20.551918997015363
77,4.284508909351781,9.456995735939163,13.924904460523834,15.490918625395764,21.74850200401977
78,4.550953043738073,9.733812672412178,13.57529766659269,15.463621959328114,21.888874623427764
79,4.84717722438713,9.776672447542248,13.267612794739513,15.012869185123865,23.41351641399489
80,4.742772574374134,9.558710102792784,13.535429307499802,14.874165322180744,22.391864863957327
